SampleID	chao1
P2_ZM87_I_D	83.75
P2_ZM87_II_D	42.14285714
P2_ZM87_III_D	59.11111111
P2_ZM87_IV_D	80
P2_ZM87_V_D	115.5
P2_ZM87_VI_D	85.66666667
P8_LV78_II_D	45
P8_LV78_III_D	133.0769231
P8_LV78_IV_D	46.75
P8_LV78_V_D	167.25
P11_GT85_I_D	36
P11_GT85_II_D	29
P11_GT85_III_D	35
P11_GT85_IV_D	177.5
P11_GT85_V_D	75.6
P17_BH58_I_D	64
P17_BH58_II_D	74
P17_BH58_III_D	125.4285714
P17_BH58_IV_D	112
P17_BH58_V_D	106.25
P17_BH58_VI_D	157
P18_SJ75_I_D	111
P18_SJ75_II_D	69.33333333
P18_SJ75_III_D	115.4285714
P18_SJ75_IV_D	157.5
P18_SJ75_V_D	80.16666667
P30_KM73_I_D	55.33333333
P30_KM73_II_D	60.5
P30_KM73_III_D	193.25
P30_KM73_IV_D	90.8
P30_KM73_V_D	102.6666667
P30_KM73_VI_D	57.5
P36_KJ78_I_D	98
P36_KJ78_III_D	112.1
P36_KJ78_IV_D	41.5
P36_KJ78_VI_D	35
P37_SJ55_I_D	88.2
P37_SJ55_II_D	180.4
P37_SJ55_III_D	41
P37_SJ55_IV_D	123.75
P37_SJ55_V_D	124.4
P37_SJ55_VI_D	120.1428571
P43_BR63_I_D	91.66666667
P43_BR63_III_D	127.5
K2_NL71_I_D	62.11111111
K2_NL71_IV_D	48
K3_KM78_I_D	84.1
K3_KM78_IV_D	88.5
K4_RR79_I_D	93
K5_JZ92_I_D	64.14285714
K5_JZ92_IV_D	105
K8_KP79_I_D	76.07692308
K9_KM80_I_D	39.33333333
K9_KM80_IV_D	52.42857143
K11_JV87_I_D	45.14285714
K11_JV87_IV_D	120.0769231
K12_KJ78_I_D	134.5416667
K12_KJ78_IV_D	125.1
K16_PP75_I_D	124.4285714
K16_PP75_IV_D	79.2
K17_SS75_I_D	60.11111111
K17_SS75_IV_D	73.42857143
K20_HO76_I_D	54.11111111
K20_HO76_IV_D	63.09090909
K21_KT86_I_D	460.1111111
K23_JM85_I_D	54.33333333
K27_BA81_II_D	94.66666667
K28_KZ83_I_D	76.42857143
K30_SF95_I_D	79.5
K32_KS89_I_D	113.5263158
K34_BI96_I_D	67
K34_BI96_IV_D	59
K39_DS96_I_D	48.66666667
K40_WV86_IV_D	111.5
K41_NE90_I_D	92
K41_NE90_IV_D	107.1578947
K43_KZ94_I_D	122.6666667