SampleID	faith_pd
P2_ZM87_I_D	27.39023281
P2_ZM87_II_D	14.50076077
P2_ZM87_III_D	24.02268423
P2_ZM87_IV_D	28.07295589
P2_ZM87_V_D	43.58433561
P2_ZM87_VI_D	20.63668088
P8_LV78_II_D	10.35916393
P8_LV78_III_D	39.10501042
P8_LV78_IV_D	3.988774006
P8_LV78_V_D	22.81040226
P11_GT85_I_D	10.22219894
P11_GT85_II_D	5.741620619
P11_GT85_III_D	4.696288188
P11_GT85_IV_D	14.14473359
P11_GT85_V_D	18.85668896
P17_BH58_I_D	8.063529709
P17_BH58_II_D	5.788977566
P17_BH58_III_D	12.72640033
P17_BH58_IV_D	8.665486064
P17_BH58_V_D	12.00432187
P17_BH58_VI_D	7.427635427
P18_SJ75_I_D	28.68390738
P18_SJ75_II_D	13.54662201
P18_SJ75_III_D	12.44750312
P18_SJ75_IV_D	24.86202527
P18_SJ75_V_D	17.1751626
P30_KM73_I_D	18.88508511
P30_KM73_II_D	7.316920977
P30_KM73_III_D	20.95727585
P30_KM73_IV_D	33.62248688
P30_KM73_V_D	41.35369109
P30_KM73_VI_D	7.831828364
P36_KJ78_I_D	21.79303152
P36_KJ78_III_D	34.96356591
P36_KJ78_IV_D	17.22262167
P36_KJ78_VI_D	10.70683447
P37_SJ55_I_D	14.04768373
P37_SJ55_II_D	31.12516122
P37_SJ55_III_D	10.09273153
P37_SJ55_IV_D	10.46428772
P37_SJ55_V_D	11.83643027
P37_SJ55_VI_D	7.299247166
P43_BR63_I_D	8.14811042
P43_BR63_III_D	8.065693315
K2_NL71_I_D	19.21867231
K2_NL71_IV_D	11.51341246
K3_KM78_I_D	15.35102555
K3_KM78_IV_D	16.25631908
K4_RR79_I_D	40.26718916
K5_JZ92_I_D	37.67748733
K5_JZ92_IV_D	53.37638959
K8_KP79_I_D	44.14660733
K9_KM80_I_D	12.66348118
K9_KM80_IV_D	10.99765118
K11_JV87_I_D	14.24077776
K11_JV87_IV_D	33.98411898
K12_KJ78_I_D	67.7052029
K12_KJ78_IV_D	38.36968512
K16_PP75_I_D	34.48281067
K16_PP75_IV_D	5.497947679
K17_SS75_I_D	20.33739357
K17_SS75_IV_D	14.66799691
K20_HO76_I_D	21.06368021
K20_HO76_IV_D	33.47106544
K21_KT86_I_D	131.1998806
K23_JM85_I_D	7.484346179
K27_BA81_II_D	52.99393802
K28_KZ83_I_D	15.34512744
K30_SF95_I_D	4.557130016
K32_KS89_I_D	55.74474247
K34_BI96_I_D	27.15469817
K34_BI96_IV_D	22.42351516
K39_DS96_I_D	11.32768065
K40_WV86_IV_D	31.47393471
K41_NE90_I_D	29.43690149
K41_NE90_IV_D	62.34778017
K43_KZ94_I_D	15.86619989