SampleID	shannon_entropy
P2_ZM87_I_D	4.201276555
P2_ZM87_II_D	3.859207791
P2_ZM87_III_D	3.811183851
P2_ZM87_IV_D	5.06685589
P2_ZM87_V_D	5.419999894
P2_ZM87_VI_D	5.216120617
P8_LV78_II_D	3.84767743
P8_LV78_III_D	5.716974063
P8_LV78_IV_D	4.562104261
P8_LV78_V_D	6.644005385
P11_GT85_I_D	3.44994625
P11_GT85_II_D	3.673112007
P11_GT85_III_D	4.252089698
P11_GT85_IV_D	6.320542351
P11_GT85_V_D	4.814762234
P17_BH58_I_D	5.302375718
P17_BH58_II_D	5.516954809
P17_BH58_III_D	6.2658794
P17_BH58_IV_D	5.77435599
P17_BH58_V_D	5.875557376
P17_BH58_VI_D	5.68854682
P18_SJ75_I_D	4.938396527
P18_SJ75_II_D	4.829864369
P18_SJ75_III_D	6.142028566
P18_SJ75_IV_D	6.076042879
P18_SJ75_V_D	5.654235849
P30_KM73_I_D	4.402114888
P30_KM73_II_D	4.265074933
P30_KM73_III_D	6.772498729
P30_KM73_IV_D	4.464146603
P30_KM73_V_D	4.17746637
P30_KM73_VI_D	3.945002803
P36_KJ78_I_D	5.034140353
P36_KJ78_III_D	5.821669174
P36_KJ78_IV_D	2.758982327
P36_KJ78_VI_D	2.923919072
P37_SJ55_I_D	4.673686036
P37_SJ55_II_D	5.63707156
P37_SJ55_III_D	3.815199872
P37_SJ55_IV_D	5.041115908
P37_SJ55_V_D	5.015631633
P37_SJ55_VI_D	5.888719899
P43_BR63_I_D	5.233447207
P43_BR63_III_D	6.140023746
K2_NL71_I_D	3.7144484
K2_NL71_IV_D	3.580272634
K3_KM78_I_D	4.384486011
K3_KM78_IV_D	4.210495763
K4_RR79_I_D	4.566013253
K5_JZ92_I_D	3.602818171
K5_JZ92_IV_D	4.134281271
K8_KP79_I_D	3.428025573
K9_KM80_I_D	3.408301301
K9_KM80_IV_D	3.441252888
K11_JV87_I_D	3.563211695
K11_JV87_IV_D	3.650484867
K12_KJ78_I_D	4.46730738
K12_KJ78_IV_D	4.970107563
K16_PP75_I_D	4.291424734
K16_PP75_IV_D	4.808523344
K17_SS75_I_D	3.640506498
K17_SS75_IV_D	3.900693476
K20_HO76_I_D	2.276307794
K20_HO76_IV_D	2.84452956
K21_KT86_I_D	7.05489932
K23_JM85_I_D	3.630196686
K27_BA81_II_D	3.227466215
K28_KZ83_I_D	3.373170331
K30_SF95_I_D	3.165800382
K32_KS89_I_D	3.776109152
K34_BI96_I_D	3.088509178
K34_BI96_IV_D	2.859427458
K39_DS96_I_D	3.227568062
K40_WV86_IV_D	5.001900414
K41_NE90_I_D	5.411491159
K41_NE90_IV_D	5.419879563
K43_KZ94_I_D	5.824876649